"idx","lat","lng","acc","altitude","time","device_mac","app_version","droid_version","device_model","ssid","bssid","caps","level","freq"
"57029452","40.6921686","-73.98663","20.638","0","1498169796770","300dd87905419eba","0.3.3","5.0","ASUS_T00P","twcwifi-passpoint","24:c9:a1:fa:e5:28","[wpa2-eap-ccmp][ess][p2p][hs20]","-58","2447"
"57029453","40.6921686","-73.98663","20.638","0","1498169796770","300dd87905419eba","0.3.3","5.0","ASUS_T00P","downtownbrooklynwifi_fon","24:c9:a1:7a:e5:28","[ess]","-59","2447"
"57029454","40.6921686","-73.98663","20.638","0","1498169796770","300dd87905419eba","0.3.3","5.0","ASUS_T00P","twcwifi","24:c9:a1:ba:e5:28","[ess]","-59","2447"
"57029455","40.6921686","-73.98663","20.638","0","1498169796770","300dd87905419eba","0.3.3","5.0","ASUS_T00P","icsnyc-student","0a:18:d6:82:7c:8a","[wpa-psk-ccmp][wpa2-psk-ccmp][ess]","-72","2437"
"57029456","40.6921686","-73.98663","20.638","0","1498169796770","300dd87905419eba","0.3.3","5.0","ASUS_T00P","icsnyc-guest","0e:18:d6:82:7d:5e","[wpa-psk-ccmp][wpa2-psk-ccmp][ess]","-59","2462"
"57029457","40.6921686","-73.98663","20.638","0","1498169796770","300dd87905419eba","0.3.3","5.0","ASUS_T00P","icsnyc-student","0a:18:d6:82:7d:5e","[wpa-psk-ccmp][wpa2-psk-ccmp][ess]","-58","2462"
"57029458","40.6921686","-73.98663","20.638","0","1498169796770","300dd87905419eba","0.3.3","5.0","ASUS_T00P","icsnyc-student","0a:18:d6:82:7d:d0","[wpa-psk-ccmp][wpa2-psk-ccmp][ess]","-70","2412"
"57029459","40.6921686","-73.98663","20.638","0","1498169796770","300dd87905419eba","0.3.3","5.0","ASUS_T00P","icsnyc-guest","0e:18:d6:82:7d:21","[wpa-psk-ccmp][wpa2-psk-ccmp][ess]","-69","2437"
"57029460","40.6921686","-73.98663","20.638","0","1498169796770","300dd87905419eba","0.3.3","5.0","ASUS_T00P","twcwifi","f0:b0:52:77:74:98","[ess]","-74","2412"
"57029461","40.6921686","-73.98663","20.638","0","1498169796770","300dd87905419eba","0.3.3","5.0","ASUS_T00P","jies iphone","7e:50:49:61:cf:a2","[wpa2-psk-ccmp][ess]","-26","2462"
"57029462","40.6921686","-73.98663","20.638","0","1498169796770","300dd87905419eba","0.3.3","5.0","ASUS_T00P","bac","dc:9f:db:b2:47:2c","[wpa2-psk-ccmp][ess]","-60","2437"
"57029463","40.6921686","-73.98663","20.638","0","1498169796770","300dd87905419eba","0.3.3","5.0","ASUS_T00P","vanessa boutique","00:23:97:d3:8b:5d","[wep][ess]","-69","2437"
"57029464","40.6921686","-73.98663","20.638","0","1498169796770","300dd87905419eba","0.3.3","5.0","ASUS_T00P","icsnyc-staff","04:18:d6:82:7d:d0","[wpa-psk-ccmp][wpa2-psk-ccmp][ess]","-70","2412"
"57029465","40.6921686","-73.98663","20.638","0","1498169796770","300dd87905419eba","0.3.3","5.0","ASUS_T00P","k77np","f8:e4:fb:d3:d1:6b","[wpa2-psk-ccmp+tkip][ess]","-71","2462"
"57029466","40.6921686","-73.98663","20.638","0","1498169796770","300dd87905419eba","0.3.3","5.0","ASUS_T00P","awl2","88:1f:a1:35:41:9a","[wpa-psk-tkip][wpa2-psk-ccmp+tkip][ess]","-73","2417"
"57029467","40.6921686","-73.98663","20.638","0","1498169796770","300dd87905419eba","0.3.3","5.0","ASUS_T00P","twcwifi-passpoint","74:3e:2b:ae:a8:68","[wpa2-eap-ccmp][ess]","-76","2447"
"57029468","40.6921686","-73.98663","20.638","0","1498169796770","300dd87905419eba","0.3.3","5.0","ASUS_T00P","island-2ea860","74:3e:2b:6e:a8:63","[wpa2-psk-ccmp][ess]","-69","2447"
"57029469","40.6921686","-73.98663","20.638","0","1498169796770","300dd87905419eba","0.3.3","5.0","ASUS_T00P","cablewifi","24:c9:a1:3a:e5:28","[ess]","-59","2447"
"57029470","40.6921686","-73.98663","20.638","0","1498169796770","300dd87905419eba","0.3.3","5.0","ASUS_T00P","twcwifi","74:3e:2b:6e:a8:68","[ess]","-74","2447"
"57029471","40.6921686","-73.98663","20.638","0","1498169796770","300dd87905419eba","0.3.3","5.0","ASUS_T00P","cablewifi","74:3e:2b:2e:a8:68","[ess]","-72","2447"
"57029472","40.6921686","-73.98663","20.638","0","1498169796770","300dd87905419eba","0.3.3","5.0","ASUS_T00P","wifib4e9d3","28:56:5a:b4:e9:d7","[wpa2-psk-ccmp][wps][ess]","-57","2412"
"57029473","40.6921686","-73.98663","20.638","0","1498169796770","300dd87905419eba","0.3.3","5.0","ASUS_T00P","hp-print-98-laserjet 1102","00:71:cc:33:08:98","[ess]","-71","2437"
"57029474","40.6921686","-73.98663","20.638","0","1498169796770","300dd87905419eba","0.3.3","5.0","ASUS_T00P","tp-link_e15e","98:de:d0:c2:e1:5e","[wpa2-psk-ccmp][wps][ess]","-78","2422"
"57029475","40.6921686","-73.98663","20.638","0","1498169796770","300dd87905419eba","0.3.3","5.0","ASUS_T00P","samsung galaxy on5 7983","dc:cf:96:a5:ee:bb","[ess]","-60","2462"
"57029476","40.6921686","-73.98663","20.638","0","1498169796770","300dd87905419eba","0.3.3","5.0","ASUS_T00P","bac","04:18:d6:22:33:03","[wpa2-psk-ccmp][ess]","-60","2412"
"57029477","40.6921686","-73.98663","20.638","0","1498169796770","300dd87905419eba","0.3.3","5.0","ASUS_T00P","iphone","7a:d7:5f:10:b5:81","[wpa2-psk-ccmp][ess]","-70","2462"
"57029478","40.6921686","-73.98663","20.638","0","1498169796770","300dd87905419eba","0.3.3","5.0","ASUS_T00P","giovannis","d4:05:98:e5:49:00","[wpa2-psk-ccmp][wps][ess]","-71","2412"
"57029479","40.6921686","-73.98663","20.638","0","1498169796770","300dd87905419eba","0.3.3","5.0","ASUS_T00P","wifide8607","28:56:5a:de:86:0a","[wpa2-psk-ccmp][wps][ess]","-73","2412"
"57029480","40.6921686","-73.98663","20.638","0","1498169796770","300dd87905419eba","0.3.3","5.0","ASUS_T00P","belkin.8ae","08:86:3b:7d:b8:ae","[wpa-psk-ccmp][wpa2-psk-ccmp][wps][ess]","-79","2422"
"57029481","40.6921686","-73.98663","20.638","0","1498169796770","300dd87905419eba","0.3.3","5.0","ASUS_T00P","free virus","64:a5:c3:68:c4:22","[wpa2-psk-ccmp][ess]","-61","2437"
"57029482","40.6921686","-73.98663","20.638","0","1498169796770","300dd87905419eba","0.3.3","5.0","ASUS_T00P","pnv718","f8:e4:fb:ea:65:7f","[wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][ess]","-75","2462"
"57029483","40.6921686","-73.98663","20.638","0","1498169796770","300dd87905419eba","0.3.3","5.0","ASUS_T00P","icsnyc-guest","0e:18:d6:82:7d:d0","[wpa-psk-ccmp][wpa2-psk-ccmp][ess]","-75","2412"
"57029484","40.6921686","-73.98663","20.638","0","1498169796770","300dd87905419eba","0.3.3","5.0","ASUS_T00P","the tubes","00:ac:e0:b6:7e:60","[wpa2-psk-ccmp][wps][ess]","-73","2422"
"57029485","40.6921686","-73.98663","20.638","0","1498169796770","300dd87905419eba","0.3.3","5.0","ASUS_T00P","asa-mezzanine","50:17:ff:04:30:e2","[wpa-psk-ccmp][wpa2-psk-ccmp][ess]","-75","2412"
"57029486","40.6921686","-73.98663","20.638","0","1498169796770","300dd87905419eba","0.3.3","5.0","ASUS_T00P","dg1670a62","ac:b3:13:94:62:60","[wpa2-psk-ccmp][wps][ess]","-77","2437"
"57029487","40.6921686","-73.98663","20.638","0","1498169796770","300dd87905419eba","0.3.3","5.0","ASUS_T00P","gotenna_hq secure","ac:86:74:8f:f5:03","[wpa2-eap-ccmp][ess]","-78","2412"
"57029488","40.6921686","-73.98663","20.638","0","1498169796770","300dd87905419eba","0.3.3","5.0","ASUS_T00P","prijector925d","44:2c:05:b6:2c:d8","[wpa2-psk-ccmp][ess]","-78","2437"
"57029489","40.6921686","-73.98663","20.638","0","1498169796770","300dd87905419eba","0.3.3","5.0","ASUS_T00P","3b","2c:30:33:5a:b4:29","[wpa2-psk-ccmp][wps][ess]","-67","2457"
"57029490","40.6921686","-73.98663","20.638","0","1498169796770","300dd87905419eba","0.3.3","5.0","ASUS_T00P","awl2","b4:18:d1:e1:1a:c0","[wpa-psk-tkip][wpa2-psk-ccmp+tkip][ess]","-69","2437"
"57029491","40.6921686","-73.98663","20.638","0","1498169796770","300dd87905419eba","0.3.3","5.0","ASUS_T00P","gotenna_hq secure","ac:86:74:8f:f5:43","[wpa2-eap-ccmp][ess]","-72","2462"
"57029492","40.6921686","-73.98663","20.638","0","1498169796770","300dd87905419eba","0.3.3","5.0","ASUS_T00P","","50:17:ff:04:30:e1","[wpa-psk-ccmp][wpa2-psk-ccmp][ess]","-72","2412"
"57029493","40.6921686","-73.98663","20.638","0","1498169796770","300dd87905419eba","0.3.3","5.0","ASUS_T00P","gotenna_hq guest","ac:86:74:8f:f5:42","[wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][ess]","-73","2462"
"57029494","40.6921686","-73.98663","20.638","0","1498169796770","300dd87905419eba","0.3.3","5.0","ASUS_T00P","gotenna_hq mobile","ac:86:74:8f:f5:45","[wpa2-psk-ccmp][ess]","-73","2462"
"57029495","40.6921686","-73.98663","20.638","0","1498169796770","300dd87905419eba","0.3.3","5.0","ASUS_T00P","asa-mezzanine","7c:95:f3:8d:f2:12","[wpa-psk-ccmp][wpa2-psk-ccmp][ess]","-73","2462"
"57029496","40.6921686","-73.98663","20.638","0","1498169796770","300dd87905419eba","0.3.3","5.0","ASUS_T00P","direct-4e-hp officejet pro 8720","ec:8e:b5:0a:95:4f","[wpa2-psk-ccmp][wps][ess]","-78","2462"
"57029497","40.6921686","-73.98663","20.638","0","1498169796770","300dd87905419eba","0.3.3","5.0","ASUS_T00P","helen","c8:d3:a3:1b:d7:48","[wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][ess]","-80","2437"
"57029498","40.6921686","-73.98663","20.638","0","1498169796770","300dd87905419eba","0.3.3","5.0","ASUS_T00P","twcwifi-passpoint","84:18:3a:fd:31:d8","[wpa2-eap-ccmp][ess][p2p][hs20]","-66","2432"
"57029499","40.6921686","-73.98663","20.638","0","1498169796770","300dd87905419eba","0.3.3","5.0","ASUS_T00P","helen","14:d6:4d:ec:11:48","[wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][ess]","-73","2412"
"57029500","40.6921686","-73.98663","20.638","0","1498169796770","300dd87905419eba","0.3.3","5.0","ASUS_T00P","farahani_wi-fi network","90:72:40:21:3b:54","[wpa2-psk-ccmp][ess]","-73","2462"
"57029501","40.6921686","-73.98663","20.638","0","1498169796770","300dd87905419eba","0.3.3","5.0","ASUS_T00P","direct-bb-hp m252 laserjet","62:6d:c7:27:cd:bb","[wpa2-psk-ccmp][wps][ess]","-74","2437"
"57029502","40.6921686","-73.98663","20.638","0","1498169796770","300dd87905419eba","0.3.3","5.0","ASUS_T00P","twcwifi","84:18:3a:bd:31:d8","[ess]","-66","2432"
"57029503","40.6921686","-73.98663","20.638","0","1498169796770","300dd87905419eba","0.3.3","5.0","ASUS_T00P","downtownbrooklynwifi_fon","84:18:3a:7d:31:d8","[ess]","-68","2432"
"57029504","40.6921686","-73.98663","20.638","0","1498169796770","300dd87905419eba","0.3.3","5.0","ASUS_T00P","cablewifi","84:18:3a:3d:31:d8","[ess]","-68","2432"
"57029433","40.6935473","-73.9870892","21.558","0","1498169589632","300dd87905419eba","0.3.3","5.0","ASUS_T00P","transitwirelesswifi","84:24:8d:d3:da:c0","[ess]","-80","2437"
"57029434","40.6935473","-73.9870892","21.558","0","1498169589632","300dd87905419eba","0.3.3","5.0","ASUS_T00P","constitution","00:a6:ca:b7:c1:20","[wpa2-eap-ccmp][ess]","-76","2412"
"57029435","40.6935473","-73.9870892","21.558","0","1498169589632","300dd87905419eba","0.3.3","5.0","ASUS_T00P","ng-p","00:a6:ca:b7:c1:24","[wpa2-eap-ccmp][ess]","-78","2412"
"57029436","40.6935473","-73.9870892","21.558","0","1498169589632","300dd87905419eba","0.3.3","5.0","ASUS_T00P","ng-m","00:a6:ca:b7:c1:25","[wpa2-eap-ccmp][ess]","-77","2412"
"57029437","40.6935473","-73.9870892","21.558","0","1498169589632","300dd87905419eba","0.3.3","5.0","ASUS_T00P","dg1670a22","98:6b:3d:ce:5c:20","[wpa2-psk-ccmp][wps][ess]","-91","2462"
"57029438","40.6935473","-73.9870892","21.558","0","1498169589632","300dd87905419eba","0.3.3","5.0","ASUS_T00P","advance-energy","ac:b3:13:06:a3:e0","[wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]","-93","2462"
"57029439","40.6935473","-73.9870892","21.558","0","1498169589632","300dd87905419eba","0.3.3","5.0","ASUS_T00P","ng-g","00:a6:ca:b7:c1:26","[ess]","-77","2412"
"57029440","40.6935473","-73.9870892","21.558","0","1498169589632","300dd87905419eba","0.3.3","5.0","ASUS_T00P","twcwifi-passpoint","24:c9:a1:cf:15:88","[wpa2-eap-ccmp][ess][p2p][hs20]","-77","2457"
"57029441","40.6935473","-73.9870892","21.558","0","1498169589632","300dd87905419eba","0.3.3","5.0","ASUS_T00P","twcwifi-passpoint","f0:b0:52:b6:29:28","[wpa2-eap-ccmp][ess][p2p][hs20]","-81","2457"
"57029442","40.6935473","-73.9870892","21.558","0","1498169589632","300dd87905419eba","0.3.3","5.0","ASUS_T00P","ng-m","00:a6:ca:bc:1f:05","[wpa2-eap-ccmp][ess]","-83","2437"
"57029443","40.6935473","-73.9870892","21.558","0","1498169589632","300dd87905419eba","0.3.3","5.0","ASUS_T00P","constitution","00:a6:ca:bc:1f:00","[wpa2-eap-ccmp][ess]","-83","2437"
"57029444","40.6935473","-73.9870892","21.558","0","1498169589632","300dd87905419eba","0.3.3","5.0","ASUS_T00P","07fx10095693","00:12:0e:90:ee:56","[wep][ess]","-80","2437"
"57029445","40.6935473","-73.9870892","21.558","0","1498169589632","300dd87905419eba","0.3.3","5.0","ASUS_T00P","twcwifi","24:c9:a1:8f:15:88","[ess]","-77","2457"
"57029446","40.6935473","-73.9870892","21.558","0","1498169589632","300dd87905419eba","0.3.3","5.0","ASUS_T00P","downtownbrooklynwifi_fon","24:c9:a1:4f:15:88","[ess]","-77","2457"
"57029447","40.6935473","-73.9870892","21.558","0","1498169589632","300dd87905419eba","0.3.3","5.0","ASUS_T00P","cablewifi","24:c9:a1:0f:15:88","[ess]","-77","2457"
"57029448","40.6935473","-73.9870892","21.558","0","1498169589632","300dd87905419eba","0.3.3","5.0","ASUS_T00P","ng-g","00:a6:ca:bc:1f:06","[ess]","-83","2437"
"57029449","40.6935473","-73.9870892","21.558","0","1498169589632","300dd87905419eba","0.3.3","5.0","ASUS_T00P","mmwifi","a0:e0:af:95:72:70","[wpa2-psk-ccmp+tkip][ess]","-71","2432"
"57029450","40.6935473","-73.9870892","21.558","0","1498169589632","300dd87905419eba","0.3.3","5.0","ASUS_T00P","ba","c0:56:27:24:7c:05","[wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]","-76","2437"
"57029451","40.6935473","-73.9870892","21.558","0","1498169589632","300dd87905419eba","0.3.3","5.0","ASUS_T00P","think! guest","04:18:d6:c2:cf:5d","[ess]","-67","2412"
"57029426","40.6939509","-73.9872126","34.5","0","1498169571564","300dd87905419eba","0.3.3","5.0","ASUS_T00P","transitwirelesswifi","84:24:8d:d3:da:c0","[ess]","-77","2437"
"57029427","40.6939509","-73.9872126","34.5","0","1498169571564","300dd87905419eba","0.3.3","5.0","ASUS_T00P","constitution","00:a6:ca:b7:c1:20","[wpa2-eap-ccmp][ess]","-80","2412"
"57029428","40.6939509","-73.9872126","34.5","0","1498169571564","300dd87905419eba","0.3.3","5.0","ASUS_T00P","ng-p","00:a6:ca:b7:c1:24","[wpa2-eap-ccmp][ess]","-80","2412"
"57029429","40.6939509","-73.9872126","34.5","0","1498169571564","300dd87905419eba","0.3.3","5.0","ASUS_T00P","ng-m","00:a6:ca:b7:c1:25","[wpa2-eap-ccmp][ess]","-81","2412"
"57029430","40.6939509","-73.9872126","34.5","0","1498169571564","300dd87905419eba","0.3.3","5.0","ASUS_T00P","dg1670a22","98:6b:3d:ce:5c:20","[wpa2-psk-ccmp][wps][ess]","-91","2462"
"57029431","40.6939509","-73.9872126","34.5","0","1498169571564","300dd87905419eba","0.3.3","5.0","ASUS_T00P","advance-energy","ac:b3:13:06:a3:e0","[wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]","-93","2462"
"57029432","40.6939509","-73.9872126","34.5","0","1498169571564","300dd87905419eba","0.3.3","5.0","ASUS_T00P","ng-g","00:a6:ca:b7:c1:26","[ess]","-80","2412"
